HHSTATE_x,Household_No.
CA,13103114
TX,9906070
FL,7931313
NY,7417224
PA,5106601
IL,4884061
OH,4717226
NC,4031592
MI,3980408
GA,3830264
NJ,3272054
VA,3184121
WA,2905822
MA,2646980
AZ,2643430
TN,2639455
IN,2602770
MO,2440212
WI,2377935
MD,2230527
MN,2207988
CO,2137402
SC,1961481
AL,1888504
LA,1751956
KY,1748053
OR,1642579
OK,1493569
CT,1385437
IA,1273941
AR,1170544
KS,1141985
NV,1130011
MS,1116649
UT,1003345
NM,792755
NE,766663
WV,734235
ID,649299
ME,569551
NH,539116
HI,467932
MT,436048
RI,414730
DE,370953
SD,347878
ND,320873
DC,288307
VT,262852
AK,255173
WY,233231
